"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"beachmat","beachmat","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.10.0",NA,NA,"methods, DelayedArray (>= 0.15.14), BiocGenerics, Matrix, Rcpp","Rcpp","testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"BH","BH","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.78.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.1.2"
"Biobase","Biobase","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.52.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.0"
"BiocFileCache","BiocFileCache","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.2.0",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, rappdirs,
filelock, curl, httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"BiocGenerics","BiocGenerics","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.40.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"BiocManager","BiocManager","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.30.16",NA,NA,"utils",NA,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"BiocNeighbors","BiocNeighbors","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.12.0",NA,NA,"Rcpp, S4Vectors, BiocParallel, stats, methods, Matrix","Rcpp, RcppHNSW","testthat, BiocStyle, knitr, rmarkdown, FNN, RcppAnnoy,
RcppHNSW",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"BiocParallel","BiocParallel","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.28.0",NA,"methods, R (>= 3.5.0)","stats, utils, futile.logger, parallel, snow","BH","BiocGenerics, tools, foreach, BatchJobs, BBmisc, doParallel,
Rmpi, GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, codetools, RUnit,
BiocStyle, knitr, batchtools, data.table",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"BiocSingular","BiocSingular","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.10.0",NA,NA,"BiocGenerics, S4Vectors, Matrix, methods, utils, DelayedArray,
BiocParallel, ScaledMatrix, irlba, rsvd, Rcpp, beachmat","Rcpp, beachmat","testthat, BiocStyle, knitr, rmarkdown, ResidualMatrix",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"BiocVersion","BiocVersion","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","3.14.0",NA,"R (>= 4.1.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"Biostrings","Biostrings","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.60.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), XVector (>= 0.29.2),
GenomeInfoDb","methods, utils, grDevices, graphics, stats, crayon,","S4Vectors, IRanges, XVector","BSgenome (>= 1.13.14), BSgenome.Celegans.UCSC.ce2 (>=
1.3.11), BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit","Rmpi","Artistic-2.0",NA,NA,NA,NA,"yes","4.1.0"
"bit","bit","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","4.0.4",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"bit64","bit64","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"bitops","bitops","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"blob","blob","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.2.2",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"boot","boot","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.3-28","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.1.0"
"broom","broom","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.7.10",NA,"R (>= 3.1)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr
(>= 1.0.0), ggplot2",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot,
btergm, car, caret, cluster, cmprsk, coda, covr, drc, e1071,
emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam (>=
1.15), gee, geepack, glmnet, glmnetUtils, gmm, Hmisc, irlba,
joineRML, Kendall, knitr, ks, Lahman, lavaan, leaps, lfe,
lm.beta, lme4, lmodel2, lmtest (>= 0.9.38), lsmeans, maps,
maptools, margins, MASS, Matrix, mclust, mediation, metafor,
mfx, mgcv, mlogit, modeldata, modeltests, muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"bs4Dash","bs4Dash","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.5.0",NA,NA,"shiny, htmltools",NA,"plotly, shinyWidgets, knitr, rmarkdown",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"bslib","bslib","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.3.1",NA,"R (>= 2.10)","grDevices, htmltools (>= 0.5.2), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang",NA,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"cachem","cachem","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.6",NA,NA,"rlang, fastmap",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"Cairo","Cairo","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.5-12.2",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"callr","callr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","3.7.0",NA,NA,"processx (>= 3.5.0), R6, utils",NA,"cli, covr, ps, rprojroot, spelling, testthat, withr (>=
2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"car","car","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","3.0-12",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, lme4 (>=
1.1-27.1), nlme",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), rio, sandwich, SparseM,
survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"carData","carData","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","3.0-4",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"caret","caret","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","6.0-90",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"caTools","caTools","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"celldex","celldex","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.4.0",NA,"SummarizedExperiment","utils, ExperimentHub, AnnotationHub, AnnotationDbi, S4Vectors,
DelayedArray, DelayedMatrixStats",NA,"testthat, knitr, rmarkdown, BiocStyle, DT",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"cellranger","cellranger","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"class","class","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","7.3-19","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"classInt","classInt","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.4-3",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"cli","cli","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","3.1.0",NA,"R (>= 2.10)","glue, utils",NA,"asciicast, callr, covr, grDevices, htmltools, htmlwidgets,
knitr, methods, mockery, processx, ps (>= 1.3.4.9000), rlang,
rmarkdown, rstudioapi, shiny, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"clipr","clipr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.3"
"cluster","cluster","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.1.2","recommended","R (>= 3.4.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"clusterProfiler","clusterProfiler","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","4.2.0",NA,"R (>= 3.5.0)","AnnotationDbi, downloader, DOSE (>= 3.13.1), dplyr, enrichplot
(>= 1.9.3), GO.db, GOSemSim, magrittr, methods, plyr, qvalue,
rlang, stats, tidyr, utils, yulab.utils",NA,"AnnotationHub, knitr, rmarkdown, org.Hs.eg.db, prettydoc,
ReactomePA, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"codetools","codetools","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.1.1"
"colorspace","colorspace","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.0-2",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"colourpicker","colourpicker","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1.1",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs (>= 2.0.0), utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5),
shinydisconnect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"commonmark","commonmark","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.8.0",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"concaveman","concaveman","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1.0",NA,"R (>= 2.10)","V8, sf, magrittr, jsonlite, dplyr",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"conquer","conquer","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.2.1",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.3), Matrix, matrixStats, stats, caret","Rcpp, RcppArmadillo (>= 0.9.850.1.0)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"corrplot","corrplot","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.91",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"cowplot","cowplot","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"cpp11","cpp11","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.4.2",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"crayon","crayon","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.5.1",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"crosstalk","crosstalk","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.2.0",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"cubature","cubature","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.0.4.4",NA,NA,"Rcpp","Rcpp","testthat, knitr, mvtnorm, benchr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"curl","curl","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","4.3.2",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"data.table","data.table","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.14.2",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"DBI","DBI","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1.1",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, dbplyr, dplyr, glue, hms, knitr, magrittr,
rmarkdown, rprojroot, RMariaDB, RSQLite (>= 1.1-2), testthat,
xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"dbplyr","dbplyr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.1.1",NA,"R (>= 3.1)","assertthat (>= 0.2.0), blob (>= 1.2.0), DBI (>= 1.0.0), dplyr
(>= 1.0.4), ellipsis, glue (>= 1.2.0), lifecycle (>= 1.0.0),
magrittr, methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils, vctrs,
withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.1.0), testthat (>= 3.0.2), tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"DelayedArray","DelayedArray","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.20.0",NA,"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.37.0), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.27.2),
IRanges (>= 2.17.3)","stats","S4Vectors","BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, lobstr, DelayedMatrixStats,
knitr, rmarkdown, BiocStyle, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"DelayedMatrixStats","DelayedMatrixStats","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.16.0",NA,"MatrixGenerics (>= 1.5.3), DelayedArray (>= 0.17.6)","methods, matrixStats (>= 0.60.0), sparseMatrixStats, Matrix,
S4Vectors (>= 0.17.5), IRanges (>= 2.25.10)",NA,"testthat, knitr, rmarkdown, covr, BiocStyle, microbenchmark,
profmem, HDF5Array",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"deldir","deldir","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0-6",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"digest","digest","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.6.29",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"distributional","distributional","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.2.2",NA,NA,"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, ellipsis, stats,
numDeriv, ggplot2, scales, farver, digest, utils, lifecycle",NA,"testthat (>= 2.1.0), covr, mvtnorm, actuar, ggdist",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"DO.db","DO.db","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.9",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.9.7)","methods, AnnotationDbi",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"doParallel","doParallel","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.1.3"
"DOSE","DOSE","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","3.20.0",NA,"R (>= 3.5.0)","AnnotationDbi, BiocParallel, DO.db, fgsea, ggplot2, GOSemSim
(>= 2.0.0), methods, qvalue, reshape2, stats, utils",NA,"prettydoc, clusterProfiler, knitr, rmarkdown, org.Hs.eg.db,
testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
